review,sentiment
अद्भुत अनुभव!,1
बेहद सिफारिश की जाती है!,1
"So boring, I fell asleep.",0
¡Experiencia increíble!,1
¡Me encantó la actuación!,1
La peor película de todas.,0
समय की पूरी बर्बादी।,0
I absolutely loved it!,1
Superb acting and direction.,1
¡Fue maravilloso!,1
Fue terrible.,0
Muy decepcionante.,0
Loved the script!,1
Beautiful storytelling.,1
Predictable and dull.,0
Terrible sound design.,0
Predictable and dull.,0
¡Experiencia increíble!,1
Simple yet powerful.,1
यह अद्भुत था!,1
¡Fue maravilloso!,1
मुझे यह बिल्कुल पसंद आया!,1
La peor película de todas.,0
समय की पूरी बर्बादी।,0
Lo odié.,0
Simple yet powerful.,1
It was terrible.,0
Terrible sound design.,0
¡Fue maravilloso!,1
Nothing interesting happened.,0
यह भयानक था।,0
¡Me encantó la actuación!,1
¡Experiencia increíble!,1
मुझे यह बिल्कुल पसंद नहीं आया।,0
Bad acting throughout.,0
Very disappointing.,0
Lo odié.,0
मुझे यह बिल्कुल पसंद नहीं आया।,0
Beautiful storytelling.,1
"So boring, I fell asleep.",0
Bad acting throughout.,0
मुझे यह बिल्कुल पसंद नहीं आया।,0
Very disappointing.,0
It felt like a waste of film.,0
Everything was just perfect.,1
समय की पूरी बर्बादी।,0
I hated it.,0
अद्भुत अनुभव!,1
मुझे यह बिल्कुल पसंद आया!,1
Lo odié.,0
Very disappointing.,0
अद्भुत अनुभव!,1
I absolutely loved it!,1
Simple yet powerful.,1
I absolutely loved it!,1
Terrible sound design.,0
Worst movie ever.,0
Disappointing visuals and plot.,0
¡Fue maravilloso!,1
"So boring, I fell asleep.",0
¡Experiencia increíble!,1
बेहद सिफारिश की जाती है!,1
Highly recommended!,1
अद्भुत अनुभव!,1
Bad acting throughout.,0
Fue terrible.,0
Terrible sound design.,0
यह अद्भुत था!,1
Muy decepcionante.,0
Pérdida total de tiempo.,0
It felt like a waste of film.,0
¡Muy recomendable!,1
An unforgettable experience.,1
Muy decepcionante.,0
Simple yet powerful.,1
La peor película de todas.,0
It was wonderful!,1
Superb acting and direction.,1
Bad acting throughout.,0
Everything was just perfect.,1
Everything was just perfect.,1
Heartwarming and delightful.,1
I hated it.,0
It was terrible.,0
¡Fue maravilloso!,1
Complete waste of time.,0
यह अद्भुत था!,1
The visuals were stunning.,1
प्रदर्शन बहुत अच्छा था!,1
Plot made no sense.,0
The visuals were stunning.,1
¡Me encantó la actuación!,1
Loved the performance!,1
Overacted and underwritten.,0
Highly recommended!,1
Complete waste of time.,0
Loved the script!,1
Truly inspiring.,1
¡Me encantó la actuación!,1
प्रदर्शन बहुत अच्छा था!,1
Worst movie ever.,0
Heartwarming and delightful.,1
It was wonderful!,1
अद्भुत अनुभव!,1
An unforgettable experience.,1
¡Me encantó la actuación!,1
"So boring, I fell asleep.",0
Fue terrible.,0
Terrible sound design.,0
Lo odié.,0
Fue terrible.,0
मुझे यह बिल्कुल पसंद नहीं आया।,0
Muy decepcionante.,0
Highly recommended!,1
Muy decepcionante.,0
¡Experiencia increíble!,1
I hated it.,0
Lo odié.,0
I hated it.,0
मुझे यह बिल्कुल पसंद आया!,1
Simple yet powerful.,1
Truly inspiring.,1
बहुत निराशाजनक।,0
Bad acting throughout.,0
I absolutely loved it!,1
Bad acting throughout.,0
¡Me encantó absolutamente!,1
Heartwarming and delightful.,1
I absolutely loved it!,1
I hated it.,0
The visuals were stunning.,1
समय की पूरी बर्बादी।,0
"So boring, I fell asleep.",0
It was wonderful!,1
Pérdida total de tiempo.,0
¡Muy recomendable!,1
Nothing interesting happened.,0
Nothing interesting happened.,0
It was terrible.,0
प्रदर्शन बहुत अच्छा था!,1
Heartwarming and delightful.,1
Bad acting throughout.,0
Fue terrible.,0
अब तक की सबसे खराब फिल्म।,0
यह भयानक था।,0
Simple yet powerful.,1
अब तक की सबसे खराब फिल्म।,0
Heartwarming and delightful.,1
अद्भुत अनुभव!,1
Plot made no sense.,0
Complete waste of time.,0
Very disappointing.,0
¡Me encantó la actuación!,1
¡Me encantó la actuación!,1
Muy decepcionante.,0
Loved the performance!,1
Complete waste of time.,0
An unforgettable experience.,1
It was wonderful!,1
Plot made no sense.,0
¡Me encantó absolutamente!,1
Pérdida total de tiempo.,0
यह भयानक था।,0
I absolutely loved it!,1
समय की पूरी बर्बादी।,0
Pérdida total de tiempo.,0
Loved the performance!,1
"So boring, I fell asleep.",0
Heartwarming and delightful.,1
Amazing experience!,1
Not engaging at all.,0
समय की पूरी बर्बादी।,0
Overacted and underwritten.,0
¡Me encantó la actuación!,1
यह भयानक था।,0
Truly inspiring.,1
La peor película de todas.,0
¡Muy recomendable!,1
अद्भुत अनुभव!,1
समय की पूरी बर्बादी।,0
Complete waste of time.,0
Complete waste of time.,0
Complete waste of time.,0
¡Me encantó absolutamente!,1
मुझे यह बिल्कुल पसंद आया!,1
Complete waste of time.,0
Nothing interesting happened.,0
अब तक की सबसे खराब फिल्म।,0
¡Me encantó absolutamente!,1
यह भयानक था।,0
मुझे यह बिल्कुल पसंद नहीं आया।,0
Lo odié.,0
Worst movie ever.,0
बेहद सिफारिश की जाती है!,1
बहुत निराशाजनक।,0
Terrible sound design.,0
Complete waste of time.,0
Everything was just perfect.,1
बेहद सिफारिश की जाती है!,1
Lo odié.,0
I absolutely loved it!,1
Everything was just perfect.,1
Amazing experience!,1
¡Me encantó la actuación!,1
Superb acting and direction.,1
Terrible sound design.,0
Loved the performance!,1
Worst movie ever.,0
Heartwarming and delightful.,1
La peor película de todas.,0
मुझे यह बिल्कुल पसंद नहीं आया।,0
Superb acting and direction.,1
Predictable and dull.,0
Plot made no sense.,0
अब तक की सबसे खराब फिल्म।,0
अब तक की सबसे खराब फिल्म।,0
Nothing interesting happened.,0
It was wonderful!,1
बहुत निराशाजनक।,0
Lo odié.,0
बेहद सिफारिश की जाती है!,1
अद्भुत अनुभव!,1
Predictable and dull.,0
¡Me encantó absolutamente!,1
Not engaging at all.,0
Definitely a must-watch!,1
Not engaging at all.,0
Bad acting throughout.,0
Beautiful storytelling.,1
Beautiful storytelling.,1
Predictable and dull.,0
¡Fue maravilloso!,1
Truly inspiring.,1
It was terrible.,0
यह भयानक था।,0
Everything was just perfect.,1
Bad acting throughout.,0
Loved the script!,1
Definitely a must-watch!,1
Truly inspiring.,1
It felt like a waste of film.,0
"So boring, I fell asleep.",0
Nothing interesting happened.,0
La peor película de todas.,0
Everything was just perfect.,1
Predictable and dull.,0
Lo odié.,0
It felt like a waste of film.,0
मुझे यह बिल्कुल पसंद नहीं आया।,0
Loved the performance!,1
I absolutely loved it!,1
मुझे यह बिल्कुल पसंद आया!,1
Overacted and underwritten.,0
Loved the script!,1
Heartwarming and delightful.,1
यह भयानक था।,0
It was wonderful!,1
Overacted and underwritten.,0
बेहद सिफारिश की जाती है!,1
Not engaging at all.,0
Not engaging at all.,0
Predictable and dull.,0
Nothing interesting happened.,0
Superb acting and direction.,1
Overacted and underwritten.,0
